2020-08-26 07:08 INFO	GroupMsg ->  {'FromGroupId': 959562190, 'FromGroupName': '测试群', 'FromUserId': 845324058, 'FromNickName': '凤飞翱翔兮丷🤖', 'Content': '{"Content":"@凤飞翱翔兮丷 赞好啦~请查收","UserID":[2450459910]}', 'MsgType': 'AtMsg', 'MsgTime': 1598450890, 'MsgSeq': 5730, 'MsgRandom': 1598450890, 'RedBaginfo': None}
2020-08-26 07:08 INFO	GroupMsg ->  {'FromGroupId': 959562190, 'FromGroupName': '测试群', 'FromUserId': 2450459910, 'FromNickName': '凤飞翱翔兮丷', 'Content': '停用Likeme', 'MsgType': 'TextMsg', 'MsgTime': 1598450897, 'MsgSeq': 5731, 'MsgRandom': 1633700492, 'RedBaginfo': None}
2020-08-26 07:08 INFO	GroupMsg ->  {'FromGroupId': 928308961, 'FromGroupName': '大 洗 女 子 学 园', 'FromUserId': 2225458076, 'FromNickName': '没钱的小峰', 'Content': '{"GroupPic":[{"FileId":3195002202,"FileMd5":"hvWsWrphfmtQqsfNYFxO0g==","FileSize":1048673,"ForwordBuf":"Eip7ODZGNUFDNUEtQkE2MS03RTZCLTUwQUEtQzdDRDYwNUM0RUQyfS5wbmciACoEAAAAADJcFTYgOTJrQTEAYmU2ZmRkNWE4ZTA4M2M3MCAgICAgIDUwICAgICAgICAgICAgICAgIHs4NkY1QUM1QS1CQTYxLTdFNkItNTBBQS1DN0NENjA1QzRFRDJ9LnBuZ0E42rq/8wtA8Pig8AhIUFAAWgBgAWoQhvWsWrphfmtQqsfNYFxO0nJbL2djaGF0cGljX25ldy8yMjI1NDU4MDc2LzkyODMwODk2MS0zMTk1MDAyMjAyLTg2RjVBQzVBQkE2MTdFNkI1MEFBQzdDRDYwNUM0RUQyLzE5OD90ZXJtPTI1NYIBWS9nY2hhdHBpY19uZXcvMjIyNTQ1ODA3Ni85MjgzMDg5NjEtMzE5NTAwMjIwMi04NkY1QUM1QUJBNjE3RTZCNTBBQUM3Q0Q2MDVDNEVEMi8wP3Rlcm09MjU1oAHpB7AB3Aq4AZ0GyAHhgEDYAcYB4AFz+gFbL2djaGF0cGljX25ldy8yMjI1NDU4MDc2LzkyODMwODk2MS0zMTk1MDAyMjAyLTg2RjVBQzVBQkE2MTdFNkI1MEFBQzdDRDYwNUM0RUQyLzQwMD90ZXJtPTI1NYACgAOIAt8B","ForwordField":8,"Url":"http://gchat.qpic.cn/gchatpic_new/2225458076/928308961-2534335053-86F5AC5ABA617E6B50AAC7CD605C4ED2/0?vuin=845324058\\u0026term=255\\u0026pictype=0"}],"Tips":"[群图片]"}', 'MsgType': 'PicMsg', 'MsgTime': 1598450908, 'MsgSeq': 525286, 'MsgRandom': 644078748, 'RedBaginfo': None}
2020-08-26 07:08 INFO	GroupMsg ->  {'FromGroupId': 928308961, 'FromGroupName': '大 洗 女 子 学 园', 'FromUserId': 2225458076, 'FromNickName': '没钱的小峰', 'Content': '好耶', 'MsgType': 'TextMsg', 'MsgTime': 1598450911, 'MsgSeq': 525287, 'MsgRandom': 59967396, 'RedBaginfo': None}
2020-08-26 07:08 INFO	GroupMsg ->  {'FromGroupId': 928308961, 'FromGroupName': '大 洗 女 子 学 园', 'FromUserId': 2225458076, 'FromNickName': '没钱的小峰', 'Content': '我一档有希望了', 'MsgType': 'TextMsg', 'MsgTime': 1598450926, 'MsgSeq': 525288, 'MsgRandom': 3579657990, 'RedBaginfo': None}
2020-08-26 07:08 INFO	GroupMsg ->  {'FromGroupId': 928308961, 'FromGroupName': '大 洗 女 子 学 园', 'FromUserId': 1296176321, 'FromNickName': '冰箱', 'Content': '{"Content":"@da @da 还就是鸭子的","MsgSeq":525285,"SrcContent":"这顶分我赌五毛不是鸭子的","Tips":"[回复]","UserID":[2741292486]}', 'MsgType': 'AtMsg', 'MsgTime': 1598450930, 'MsgSeq': 525289, 'MsgRandom': 1886847115, 'RedBaginfo': None}
2020-08-26 07:08 INFO	GroupMsg ->  {'FromGroupId': 928308961, 'FromGroupName': '大 洗 女 子 学 园', 'FromUserId': 2741292486, 'FromNickName': 'da', 'Content': '那没事了', 'MsgType': 'TextMsg', 'MsgTime': 1598450933, 'MsgSeq': 525290, 'MsgRandom': 1447961316, 'RedBaginfo': None}
2020-08-26 07:09 INFO	GroupMsg ->  {'FromGroupId': 928308961, 'FromGroupName': '大 洗 女 子 学 园', 'FromUserId': 1296176321, 'FromNickName': '冰箱', 'Content': '给我钱', 'MsgType': 'TextMsg', 'MsgTime': 1598450942, 'MsgSeq': 525291, 'MsgRandom': 852465843, 'RedBaginfo': None}
2020-08-26 07:09 INFO	GroupMsg ->  {'FromGroupId': 928308961, 'FromGroupName': '大 洗 女 子 学 园', 'FromUserId': 2741292486, 'FromNickName': 'da', 'Content': '{"GroupPic":[{"FileId":3135405897,"FileMd5":"J/42Zlbi6TYri3FTjMAIng==","FileSize":429259,"ForwordBuf":"EiQyN0ZFMzY2NjU2RTJFOTM2MkI4QjcxNTM4Q0MwMDg5RS5naWYyVhU2IDg2ZUExQmJhZTI3ZjQ5NzkzMzhiYjggICAgICA1MDdkY25iVGlBMllhek1GdGcyN0ZFMzY2NjU2RTJFOTM2MkI4QjcxNTM4Q0MwMDg5RS5naWZBOMn+idcLQLiXzskHSFBQQloQN2RjbmJUaUEyWWF6TUZ0Z2ABahAn/jZmVuLpNiuLcVOMwAieclsvZ2NoYXRwaWNfbmV3LzI3NDEyOTI0ODYvOTI4MzA4OTYxLTMxMzU0MDU4OTctMjdGRTM2NjY1NkUyRTkzNjJCOEI3MTUzOENDMDA4OUUvMTk4P3Rlcm09MjU1ggFZL2djaGF0cGljX25ldy8yNzQxMjkyNDg2LzkyODMwODk2MS0zMTM1NDA1ODk3LTI3RkUzNjY2NTZFMkU5MzYyQjhCNzE1MzhDQzAwODlFLzA/dGVybT0yNTWgAdAPsAFxuAFtwAFnyAHLmRrQAQDYAXHgAW3oAQDwAQD6AVsvZ2NoYXRwaWNfbmV3LzI3NDEyOTI0ODYvOTI4MzA4OTYxLTMxMzU0MDU4OTctMjdGRTM2NjY1NkUyRTkzNjJCOEI3MTUzOENDMDA4OUUvNDAwP3Rlcm09MjU1gAJxiAJtkgIcCAEQABgAMgBKDlvliqjnlLvooajmg4VdUAB4BQ==","ForwordField":8,"Url":"http://gchat.qpic.cn/gchatpic_new/2741292486/928308961-2534335053-27FE366656E2E9362B8B71538CC0089E/0?vuin=845324058\\u0026term=255\\u0026pictype=0"}],"Tips":"[群图片]"}', 'MsgType': 'PicMsg', 'MsgTime': 1598450954, 'MsgSeq': 525292, 'MsgRandom': 1587996493, 'RedBaginfo': None}
2020-08-26 07:09 INFO	GroupMsg ->  {'FromGroupId': 928308961, 'FromGroupName': '大 洗 女 子 学 园', 'FromUserId': 1296176321, 'FromNickName': '冰箱', 'Content': '5毛', 'MsgType': 'TextMsg', 'MsgTime': 1598450962, 'MsgSeq': 525293, 'MsgRandom': 469949879, 'RedBaginfo': None}
2020-08-26 07:09 INFO	GroupMsg ->  {'FromGroupId': 928308961, 'FromGroupName': '大 洗 女 子 学 园', 'FromUserId': 2225458076, 'FromNickName': '没钱的小峰', 'Content': '就是没录上流程', 'MsgType': 'TextMsg', 'MsgTime': 1598450965, 'MsgSeq': 525294, 'MsgRandom': 3266804255, 'RedBaginfo': None}
2020-08-26 07:09 INFO	GroupMsg ->  {'FromGroupId': 928308961, 'FromGroupName': '大 洗 女 子 学 园', 'FromUserId': 2225458076, 'FromNickName': '没钱的小峰', 'Content': 'da去b站找吧', 'MsgType': 'TextMsg', 'MsgTime': 1598450973, 'MsgSeq': 525295, 'MsgRandom': 2315821195, 'RedBaginfo': None}
2020-08-26 07:09 INFO	GroupMsg ->  {'FromGroupId': 928308961, 'FromGroupName': '大 洗 女 子 学 园', 'FromUserId': 2741292486, 'FromNickName': 'da', 'Content': '{"GroupPic":[{"FileId":2922762702,"FileMd5":"D5+STkiRfv7JZeRAvIZp/w==","FileSize":778,"ForwordBuf":"EiQwRjlGOTI0RTQ4OTE3RUZFQzk2NUU0NDBCQzg2NjlGRi5qcGcyVhU2IDg2ZUExQmFlMzVkMWNlYTNiMTVjNzkgICAgICA1MDdkY25iVGlBMllhek1GdGcwRjlGOTI0RTQ4OTE3RUZFQzk2NUU0NDBCQzg2NjlGRi5qcGdBOM6j1/EKQPm4xZ0KSFBQQloQN2RjbmJUaUEyWWF6TUZ0Z2ABahAPn5JOSJF+/sll5EC8hmn/clsvZ2NoYXRwaWNfbmV3LzI3NDEyOTI0ODYvOTI4MzA4OTYxLTI5MjI3NjI3MDItMEY5RjkyNEU0ODkxN0VGRUM5NjVFNDQwQkM4NjY5RkYvMTk4P3Rlcm09MjU1ggFZL2djaGF0cGljX25ldy8yNzQxMjkyNDg2LzkyODMwODk2MS0yOTIyNzYyNzAyLTBGOUY5MjRFNDg5MTdFRkVDOTY1RTQ0MEJDODY2OUZGLzA/dGVybT0yNTWgAegHsAE6uAEwwAFnyAGKBtABANgBOuABMOgBAPABAPoBWy9nY2hhdHBpY19uZXcvMjc0MTI5MjQ4Ni85MjgzMDg5NjEtMjkyMjc2MjcwMi0wRjlGOTI0RTQ4OTE3RUZFQzk2NUU0NDBCQzg2NjlGRi80MDA/dGVybT0yNTWAAjqIAjCSAhoIARAAMgBKDlvliqjnlLvooajmg4VdUAB4BQ==","ForwordField":8,"Url":"http://gchat.qpic.cn/gchatpic_new/2741292486/928308961-2534335053-0F9F924E48917EFEC965E440BC8669FF/0?vuin=845324058\\u0026term=255\\u0026pictype=0"}],"Tips":"[群图片]"}', 'MsgType': 'PicMsg', 'MsgTime': 1598450977, 'MsgSeq': 525296, 'MsgRandom': 1027869116, 'RedBaginfo': None}
2020-08-26 07:09 INFO	GroupMsg ->  {'FromGroupId': 928308961, 'FromGroupName': '大 洗 女 子 学 园', 'FromUserId': 2741292486, 'FromNickName': 'da', 'Content': '我玩玩就好 不打战场', 'MsgType': 'TextMsg', 'MsgTime': 1598450988, 'MsgSeq': 525297, 'MsgRandom': 747367136, 'RedBaginfo': None}
2020-08-26 07:10 INFO	GroupMsg ->  {'FromGroupId': 928308961, 'FromGroupName': '大 洗 女 子 学 园', 'FromUserId': 1354959371, 'FromNickName': '恋舞梦', 'Content': '我记得是紫苑的啊', 'MsgType': 'TextMsg', 'MsgTime': 1598451040, 'MsgSeq': 525298, 'MsgRandom': 445134473, 'RedBaginfo': None}
